Array Length (n),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial AVG
1000,3,7,6,5,5,5.2
1100,6,5,5,3,3,4.4
1200,7,4,6,7,7,6.2
1300,12,4,3,9,3,6.2
1400,4,4,3,3,3,3.4
1500,5,5,5,6,5,5.2
1600,2,2,2,1,2,1.8
1700,2,2,2,3,2,2.2
1800,6,6,6,6,6,6
1900,2,3,2,3,3,2.6
2000,4,3,3,3,3,3.2
2100,7,7,8,8,7,7.4
2200,10,11,10,11,12,10.8
2300,4,3,3,4,4,3.6
2400,4,4,4,4,4,4
2500,18,18,18,20,20,18.8
2600,4,5,5,4,5,4.6
2700,6,5,5,6,5,5.4
2800,12,13,12,12,12,12.2
2900,37,36,36,37,40,37.2
3000,6,6,6,6,7,6.2
3100,6,6,6,6,6,6
3200,7,7,7,7,7,7
3300,18,18,18,17,19,18
3400,7,7,8,8,8,7.6
3500,9,9,9,8,8,8.6
3600,21,21,20,20,21,20.6
3700,32,30,34,31,33,32
3800,9,10,10,9,9,9.4
3900,10,10,10,10,10,10
4000,11,11,11,10,10,10.6
4100,24,23,27,24,27,25
4200,11,11,12,11,11,11.2
4300,12,12,12,12,12,12
4400,13,13,13,13,13,13
4500,42,40,44,40,40,41.2
4600,14,14,14,14,14,14
4700,15,15,17,16,15,15.6
4800,15,15,15,15,14,14.8
4900,74,42,77,45,76,62.8
5000,16,16,16,18,17,16.6
5100,17,17,17,17,17,17
5200,17,17,17,18,17,17.2
5300,44,40,43,40,44,42.2
5400,18,24,18,18,18,19.2
5500,19,21,21,20,21,20.4
5600,81,48,51,47,87,62.8
5700,21,21,20,20,21,20.6
5800,121,102,91,93,107,102.8
5900,22,23,22,22,22,22.2
6000,108,132,107,114,109,114
6100,24,24,24,24,24,24
6200,60,59,59,58,59,59
6300,113,122,115,123,73,109.2
6400,26,26,27,27,27,26.6
6500,61,61,77,62,106,73.4
6600,71,71,73,71,61,69.4
6700,154,155,143,154,151,151.4
6800,29,30,65,65,30,43.8
6900,64,65,30,31,63,50.6
7000,73,85,71,72,73,74.8
7100,150,147,73,71,149,118
7200,70,69,158,153,68,103.6
7300,156,161,69,69,159,122.8
7400,69,72,163,161,69,106.8
7500,169,171,71,70,176,131.4
7600,71,72,174,171,77,113
7700,172,175,73,73,182,135
7800,73,80,172,173,74,114.4
7900,174,176,76,74,173,134.6
8000,75,74,173,170,75,113.4
8100,172,174,76,76,175,134.6
8200,75,82,162,160,78,111.4
8300,191,196,229,223,193,206.4
8400,185,186,83,79,186,143.8
8500,81,83,189,191,82,125.2
8600,184,190,84,82,182,144.4
8700,236,240,200,199,242,223.4
8800,83,87,190,195,83,127.6
8900,192,193,85,86,211,153.4
9000,154,251,208,206,158,195.4
9100,204,103,198,193,205,180.6
9200,160,223,259,252,160,210.8
9300,211,125,90,90,225,148.2
9400,162,231,227,231,163,202.8
9500,217,132,145,125,213,166.4
9600,161,236,228,226,163,202.8
9700,243,314,311,310,243,284.2
9800,140,97,96,95,131,111.8
9900,238,246,237,238,239,239.6